Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Pháp lý,Nội thất,Số phòng ngủ
"Đường Xuân Phương, Phường Xuân Phương, Nam Từ Liêm, Hà Nội.",30 m²,3 tỷ,6.8 m,3 m,Tây - Nam,Tây - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội Thất cơ bản.,3 phòng
"Đường Hòa Bình, Phường Yên Nghĩa, Hà Đông, Hà Nội",33 m²,2.03 tỷ,4.8 m,2.5 m,Đông - Bắc,Đông - Bắc,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản ,4 phòng
"Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội.",52 m²,125 triệu/m²,4.73 m,,Đông,,4 tầng,5 phòng,Sổ đỏ/ Sổ hồng.,Nội thât đầy đủ,4 phòng
"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",32 m²,3.35 tỷ,3.7 m,2 m,Đông - Nam,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,"Đủ nội thất, tivi, tủ lạnh, điều hoà, giường, tủ, máy giặt bếp từ,...",3 phòng
"Số nhà K4 ngõ 112, tổ 16, tt Sông Đà 10, Phường Kiến Hưng, Hà Đông, Hà Nội",52 m²,5.7 tỷ,6.5 m,6 m,Tây - Nam,,1 tầng,1 phòng,Sổ đỏ,,2 phòng
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",35 m²,3.65 tỷ,3.5 m,6 m,Đông,,5 tầng,4 phòng,Pháp lý đầy đủ.,Full nội thất.,3 phòng
"Đường Yên Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",42 m²,2.9 tỷ,,,,,3 tầng,3 phòng,Sổ đỏ,,3 phòng
"Phố Phố Huế, Phường Phố Huế, Hai Bà Trưng, Hà Nội",65 m²,150 triệu/m²,4 m,,,,3 tầng,,,,3 phòng
"Đường Nghĩa Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",35 m²,1.9 tỷ,3.6 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,4 phòng
"Phố Phạm Tuấn Tài, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",41 m²,10 tỷ,4.2 m,,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"SN 8 ngõ 126/32, Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",32 m²,3.05 tỷ,3.8 m,2.5 m,Đông - Nam,,5 tầng,,Sổ đỏ,,5 phòng
"Ngõ 341/79 số nhà 20, Đường Xuân Phương, Phường Phương Canh, Nam Từ Liêm, Hà Nội",36 m²,3 tỷ,4 m,2.5 m,Tây - Nam,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,"Đầy đủ nội thất - Nhà thiết kế hiện đại theo phong cách Tây Âu, tất cả các phòng đều có cửa sổ thông thoáng trong nhà có giếng trời to nên lúc nào cũng tràn ngập ánh sáng tự nhiên rất tốt cho sức khỏe",4 phòng
"Ngõ 8, Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội",36 m²,3.5 tỷ,3.4 m,2.5 m,Tây - Nam,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ đồ cơ bản ,4 phòng
"Số 7 ngõ 257/3, đường Trung Văn, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",36.8 m²,7.05 tỷ,3.6 m,5 m,Tây - Bắc,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ nội thất cơ bản.,3 phòng
"Ngõ 68, Phường Quan Hoa, Cầu Giấy, Hà Nội",58 m²,10 tỷ,4.5 m,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,6 phòng
"Đường Kim Đồng, Phường Giáp Bát, Hoàng Mai, Hà Nội",30 m²,4.1 tỷ,3.5 m,2 m,,,5 tầng,4 phòng,SĐCC.,"Nội thất cơ bản, đầy đủ.",4 phòng
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",33 m²,3.1 tỷ,4 m,4 m,Đông - Bắc,Đông - Bắc,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất.,3 phòng
"Ngõ 158, Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",58 m²,9.3 tỷ,,5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,"Nội thất: Cửa cuốn, cửa các phòng và tay vịn cầu thang làm bằng gỗ Lim Nam Phi, sàn gỗ Malaysia, trần thạch cao kết hợp đèn led âm trần chiếu sáng, quạt trần, đèn trần, rèm cửa, tủ bếp, đầy đủ thiết b",5 phòng
"Xã Tả Thanh Oai, Thanh Trì, Hà Nội",52 m²,1.15 tỷ,4 m,,,,,2 phòng,"Cả khu dân cư chưa cấp sổ đỏ. Nhà mua bán giấy tờ viết tay vi bằng, hồ sơ thửa đất, giấy tờ đóng thuế.",Tặng 80% nội thất,
"Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",38 m²,5.3 tỷ,5 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất full nhập khẩu cao cấp,4 phòng
"Đường Kiều Mai, Phường Phúc Diễn, Bắc Từ Liêm, Hà Nội",50 m²,8.3 tỷ,,6 m,,,5 tầng,,,,4 phòng
"09 ngách 47 ngõ 264, Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",106 m²,8.3 tỷ,6 m,5 m,Nam,Nam,3 tầng,2 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản,4 phòng
"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",36 m²,4.99 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,3 phòng
"Đường Ngọc Thụy, Phường Việt Hưng, Long Biên, Hà Nội",51 m²,5.4 tỷ,4.5 m,7 m,,,5 tầng,4 phòng,Sổ trao tay,Nội thất sang trọng.,4 phòng
"Đường Lê Trọng Tấn, Xã Đông La, Hoài Đức, Hà Nội",30 m²,2.02 tỷ,4 m,3 m,Tây - Nam,Tây - Nam,3 tầng,2 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Tỉnh Lộ 422B, Xã Vân Canh, Hoài Đức, Hà Nội",45 m²,3.25 tỷ,4 m,3 m,Đông,Đông,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,"Nội thất đầy đủ, khách mua chỉ việc dọn về ở",4 phòng
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",51 m²,5.7 tỷ,,,,,4 tầng,,,,4 phòng
"Đường Hòa Bình, Phường Yên Nghĩa, Hà Đông, Hà Nội",52.4 m²,2 tỷ,4.84 m,2.8 m,Tây - Nam,,2 tầng,1 phòng,Sổ đỏ/ Sổ hồng,"Tủ bếp, đảo bếp.",2 phòng
"Ngõ 663, Đường Trương Định, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",50 m²,5.89 tỷ,4.7 m,3 m,Đông,,4 tầng,4 phòng,Sổ đỏ.,,4 phòng
"Đường Đê Trần Khát Chân, Phường Cầu Dền, Hai Bà Trưng, Hà Nội",47 m²,6.8 tỷ,2.5 m,4.5 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",52 m²,6.95 tỷ,5 m,,,,,,Sổ đỏ/sổ hồng,,
"Số 46 ngách 28, hẻm 37, phố Văn Hương, Phường Hàng Bột, Đống Đa, Hà Nội",64.5 m²,3.8 tỷ,,,,,2 tầng,,,,
"Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",31 m²,3.4 tỷ,,,,,,,,,
"Đường Tam Trinh, Phường Mai Động, Hoàng Mai, Hà Nội",45 m²,6.4 tỷ,,,,,5 tầng,4 phòng,,"Đầy đủ nội thất gồm: Sàn gỗ, trần thạch cao, tủ quần áo, tủ bếp, đầy đủ thiết bị vệ sinh.",5 phòng
"Ngõ 426 ngách 6, Đường Láng, Phường Láng Hạ, Đống Đa, Hà Nội",45.6 m²,6 tỷ,,,,,3 tầng,3 phòng,Sổ đỏ,,4 phòng
"Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",31 m²,3.5 tỷ,3.4 m,2.5 m,Tây - Nam,Tây - Nam,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,5 phòng
"Đường Xuân Phương, Phường Xuân Phương, Nam Từ Liêm, Hà Nội.",30 m²,3.05 tỷ,3.68 m,2.5 m,Tây - Nam,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,,3 phòng
"Đường Tỉnh Lộ 422B, Xã Vân Canh, Hoài Đức, Hà Nội",31 m²,2.65 tỷ,3.31 m,2.5 m,Tây - Nam,Tây - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất cơ bản,3 phòng
"Phố Linh Quang, Phường Quốc Tử Giám, Đống Đa, Hà Nội",15 m²,1.88 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",40 m²,6.75 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng
"Phố Vũ Ngọc Phan, Phường Láng Hạ, Đống Đa, Hà Nội",45.7 m²,4.85 tỷ,,,Tây - Nam,,2 tầng,,,,
"Đường Di Trạch, Xã Di Trạch, Hoài Đức, Hà Nội",32 m²,2.65 tỷ,3.15 m,3.5 m,Đông - Nam,Đông - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",49 m²,4.2 tỷ,,,Tây,,4 tầng,3 phòng,Sổ đỏ chính chủ,,4 phòng
"Đường Trịnh Văn Bô, Phường Phương Canh, Nam Từ Liêm, Hà Nội",31 m²,2.7 tỷ,5.75 m,2.3 m,Tây - Bắc,Tây - Bắc,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ nội thất cơ bản, dọn đồ về có thể ở ngay",4 phòng
"Phố Khúc Thừa Dụ, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",50 m²,11 triệu,,,Tây - Nam,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đồ liền tường,6 phòng
"đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",55 m²,6.5 tỷ,,,,,4 tầng,4 phòng,,,5 phòng
"Đường Vũ Xuân Thiều, Phường Sài Đồng, Long Biên, Hà Nội",60 m²,4.3 tỷ,5.5 m,,Đông - Bắc,Đông - Bắc,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,"Đầy đủ đã trang bị nội thất đầy đủ: Bếp từ, tủ bếp, tủ âm tường, bình nóng lạnh, rèm cửa...",3 phòng
"32C ngõ 53, Đường Tân Ấp, Phường Phúc Xá, Ba Đình, Hà Nội",40 m²,7.52 tỷ,4 m,,Tây - Nam,Tây - Nam,,4 phòng,Sổ đỏ/ Sổ hồng,"Nội thất hoàn thiện gỗ lim, sồi, đồ đạc chuẩn.",3 phòng
"Ngõ 565, Đường Trương Định, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",60 m²,5.3 tỷ,4 m,5 m,Đông,Đông,4 tầng,4 phòng,,,6 phòng
"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",52 m²,10 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Trần Khát Chân, Phường Đồng Nhân, Hai Bà Trưng, Hà Nội",35 m²,4.3 tỷ,4.5 m,,,,4 tầng,,Sổ hồng,,5 phòng
"Ngõ 467, Đường Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",30 m²,3.25 tỷ,3 m,,,,4 tầng,3 phòng,Đã có sổ đỏ,Chủ nhà tặng lại toàn bộ nội thất trong nhà.,3 phòng
"Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",22 m²,2.33 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,3 phòng
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",54 m²,3.9 tỷ,3.8 m,3 m,Đông - Nam,Đông - Nam,,,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,
"Đường Đông Tác, Phường Kim Liên, Đống Đa, Hà Nội",50 m²,5.8 tỷ,,,,,4 tầng,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,
"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",65 m²,6.5 tỷ,4 m,,,,5 tầng,6 phòng,,,6 phòng
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",34 m²,1.99 tỷ,4 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,full nội thất điều hòa nóng lạnh ,4 phòng
"Ngõ 68 ngách 136, Đường Triều Khúc, Xã Tân Triều, Thanh Trì, Hà Nội",32 m²,2.55 tỷ,4 m,4 m,Đông - Nam,,2 tầng,,Sổ đỏ sẵn sàng giao dịch.,Chủ nhà để lại toàn bộ nội thất,
"Đường Nguyễn An Ninh, Phường Tương Mai, Hoàng Mai, Hà Nội",60 m²,5.8 tỷ,,,,,4 tầng,,,,
"Đường Trâu Quỳ, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",48 m²,3.5 tỷ,4 m,3.8 m,,,,,Sổ đỏ/ Sổ hồng,,
"Đường Phạm Văn Đồng, Phường Mai Dịch, Cầu Giấy, Hà Nội",45 m²,5.7 tỷ,4 m,,Bắc,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,6 phòng
"Phố Lê Thanh Nghị, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",55 m²,8.8 tỷ,5.6 m,,,,6 tầng,12 phòng,Sổ đỏ/ Sổ hồng,,12 phòng
"Đường Tựu Liệt, Xã Tam Hiệp, Thanh Trì, Hà Nội",42 m²,3.8 tỷ,4 m,4 m,,,5 tầng,3 phòng,Đã có sổ đỏ.,Đầy đủ.,4 phòng
"Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",34 m²,2.9 tỷ,,,,,5 tầng,,,,
"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",48 m²,6.5 tỷ,,3 m,,,5 tầng,9 phòng,Sổ đỏ/ Sổ hồng,,9 phòng
"Dự án Mỗ Lao, Hà Đông, Hà Nội",38 m²,6.8 tỷ,4 m,4.5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,đầy đủ ,3 phòng
"23 ngõ 44, Đường Nguyễn An Ninh, Phường Tương Mai, Hoàng Mai, Hà Nội",33 m²,3.65 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Ngọc Trục, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",40.5 m²,2.55 tỷ,9 m,4.3 m,Đông - Nam,,1 tầng,,Đang làm thủ tục cấp sổ đỏ đã được phê duyệt.,,
"Số 6 Ngõ 92/22, Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",56 m²,8.5 tỷ,6 m,,Đông - Bắc,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,6 phòng
"Phường Dương Nội, Quận Hà Đông, Hà Nội",33.5 m²,4.7 tỷ,4 m,5 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",60 m²,4.9 tỷ,4 m,5 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Còn tương đối. Sơn sửa nhẹ là ở được.,4 phòng
"Đường Âu Cơ, Phường Tứ Liên, Tây Hồ, Hà Nội",43 m²,5.55 tỷ,6 m,2 m,Tây - Bắc,Tây - Bắc,5 tầng,4 phòng,Sổ đỏ,,4 phòng
"Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",46 m²,6.5 tỷ,5.1 m,3 m,Đông,Đông,5 tầng,9 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,9 phòng
"Đường Bùi Xương Trạch, Phường Khương Trung, Thanh Xuân, Hà Nội",60 m²,6.2 tỷ,,,,,5 tầng,9 phòng,Sổ đỏ/ Sổ hồng,,9 phòng
"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",62 m²,4.2 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Tân Mai, Phường Tương Mai, Hoàng Mai, Hà Nội",56 m²,9.3 tỷ,,5 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy Đủ,5 phòng
"Phố Nguyễn Ngọc Vũ, Phường Trung Hòa, Cầu Giấy, Hà Nội",45 m²,7.6 tỷ,4.2 m,,,,6 tầng,,Sổ đỏ chính chủ,,
"Phố Chính Kinh, Phường Nhân Chính, Thanh Xuân, Hà Nội",44 m²,4.7 tỷ,4.6 m,3 m,,,5 tầng,4 phòng,Sổ đỏ.,,5 phòng
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",50 m²,7.6 tỷ,4.2 m,6 m,,,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,5 phòng
"Ngõ 155/43/6G, Đường Cầu Giấy, Phường Yên Hòa, Cầu Giấy, Hà Nội",44.9 m²,5.8 tỷ,3.86 m,,Đông - Bắc,,5 tầng,3 phòng,Sổ đỏ.,"Để lại toàn bộ nội thất, thiết bị.",4 phòng
"Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",40 m²,6.3 tỷ,3.2 m,20 m,,,5 tầng,4 phòng,Sổ vuông vắn sẵn sàng giao dịch,Đầy đủ nội thất,4 phòng
"Đường Nguyễn Hữu Thọ, Phường Đại Kim, Hoàng Mai, Hà Nội",50 m²,8.95 tỷ,,,,,5 tầng,,Sổ đỏ/ Sổ hồng.,,
"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",41 m²,4.6 tỷ,4 m,,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,5 phòng
"Số 4Q34 ngõ 144, Đường Nguyễn An Ninh, Phường Tương Mai, Hoàng Mai, Hà Nội",55 m²,7.89 tỷ,,2.8 m,,,5 tầng,4 phòng,Sổ đỏ.,Đầy đủ.,6 phòng
"Phố Phương Mai, Phường Phương Mai, Đống Đa, Hà Nội",62 m²,6.2 tỷ,6 m,,,,4 tầng,,,,
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",67 m²,7 tỷ,,,,,5 tầng,,,,
"Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",35 m²,4 tỷ,,,,,6 tầng,,Sổ đỏ vuông đẹp,,4 phòng
"Phố Pháo Đài Láng, Phường Láng Thượng, Đống Đa, Hà Nội",35 m²,5.2 tỷ,,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Đường Hồ Tùng Mậu, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",57 m²,9.65 tỷ,5 m,3 m,,,7 tầng,17 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cao cấp,8 phòng
"Đường Láng, Phường Ngã Tư Sở, Đống Đa, Hà Nội",65 m²,4.8 tỷ,,,,,3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Phường Phúc Đồng, Long Biên, Hà Nội",39.2 m²,6 tỷ,,12 m,,,4 tầng,,,"Để lại một số đồ nội thất liền tường cơ bản (điều hòa, tủ bếp mới kèm hút mùi, bếp từ nội địa nhật, tủ sách).",4 phòng
"Đường Nguyễn An Ninh, Phường Tương Mai, Hoàng Mai, Hà Nội",53 m²,9.3 tỷ,5.5 m,,,,6 tầng,6 phòng,Sổ đỏ.,,6 phòng
"Đường 6, Xã Phụng Châu, Chương Mỹ, Hà Nội",40 m²,1.5 tỷ,5 m,3 m,Tây - Bắc,Đông - Nam,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất cơ bản ,3 phòng
"Đường Trường Chinh, Phường Phương Mai, Đống Đa, Hà Nội",90 m²,8 tỷ,6.2 m,8 m,,,3 tầng,4 phòng,,Full nội thất,4 phòng
"Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội",65 m²,7.5 tỷ,3.8 m,,,,5 tầng,,,Cao cấp,
"Đường Triều Khúc, Thanh Xuân, Hà Nội",30 m²,2.9 tỷ,3.6 m,,,,,,,,
"Đường Yên Xá, Xã Tân Triều, Thanh Trì, Hà Nội",55 m²,6.8 tỷ,,,,,8 tầng,,Có sổ.,,
"Phố Linh Lang, Phường Cống Vị, Ba Đình, Hà Nội",45 m²,5.8 tỷ,4.2 m,,,,5 tầng,,Sổ đỏ,,
"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",36 m²,2.7 tỷ,4.5 m,6 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Full nội thất.,3 phòng
"Đường Nguyễn Viết Xuân, Phường Khương Mai, Thanh Xuân, Hà Nội",90 m²,10 tỷ,6 m,7 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Full,6 phòng
"Phố Thể Giao, Phường Lê Đại Hành, Hai Bà Trưng, Hà Nội",42 m²,7.5 tỷ,4 m,,,,5 tầng,,,,
"Ngõ 147, Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",65 m²,9.8 tỷ,,,,,8 tầng,,Sổ đỏ/ Sổ hồng,"Gác xép, bàn bếp, chậu rửa, tủ bát, giường tủ. ĐH + nóng lạnh + đồng hồ điện riêng biệt từng phòng.",21 phòng
"Phường Yên Nghĩa, Hà Đông, Hà Nội",40 m²,2.35 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"147, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",55 m²,9.3 tỷ,,,,,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng.,,6 phòng
"Đường Linh Đàm, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",35 m²,3.69 tỷ,3.2 m,4 m,,,4 tầng,3 phòng,Sổ đỏ,,4 phòng
"Đường Ngọc Hồi, Thị trấn Văn Điển, Thanh Trì, Hà Nội",45 m²,3.3 tỷ,4 m,3 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội",42 m²,5.5 tỷ,4 m,4 m,,,5 tầng,4 phòng,Đã có sổ đỏ,,4 phòng
"Phố Đại La, Phường Trương Định, Hai Bà Trưng, Hà Nội",42.4 m²,3.1 tỷ,4 m,2 m,,,1 tầng,,Đang chờ sổ,Cơ bản,1 phòng
"Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",75 m²,9.3 tỷ,3.75 m,3 m,Tây - Bắc,Tây - Bắc,7 tầng,12 phòng,,,10 phòng
"Ngõ 282, Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội",32 m²,3.7 tỷ,,,,,4 tầng,2 phòng,Sổ đỏ.,Nội thất đầy đủ.,3 phòng
"Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",60 m²,150 triệu/m²,3.3 m,6 m,Nam,Nam,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Gỗ lim.,4 phòng
"Phường Khâm Thiên, Đống Đa, Hà Nội",20 m²,1.69 tỷ,,,,,2 tầng,,Sổ đỏ/ Sổ hồng,,
"Đường Bùi Huy Bích, Phường Thanh Trì, Hoàng Mai, Hà Nội",40 m²,4.5 tỷ,,,,,5 tầng,4 phòng,SĐCC.,,3 phòng
"Ngõ 13, Đường Lĩnh Nam, Phường Mai Động, Hoàng Mai, Hà Nội",40 m²,4.15 tỷ,4 m,3 m,Tây - Nam,Tây - Nam,4 tầng,2 phòng,Sổ đỏ.,Cơ bản.,4 phòng
"Đường Kim Ngưu, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",40 m²,5.2 tỷ,,2.5 m,,,4 tầng,,,,
"Đường Phan Kế Bính, Phường Cống Vị, Ba Đình, Hà Nội",50 m²,6.75 tỷ,,,,,5 tầng,,,,
"Đường 21B, Phường Phú Lãm, Hà Đông, Hà Nội",36 m²,1.78 tỷ,3.5 m,3 m,Đông - Nam,,4 tầng,3 phòng,Sổ đỏ,Full nội thất cơ bản ,4 phòng
"Đường Phan Đình Giót, Phường La Khê, Hà Đông, Hà Nội",30 m²,3.1 tỷ,5 m,,Tây - Nam,Tây - Nam,4 tầng,3 phòng,,,4 phòng
"Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội",44 m²,3.6 tỷ,,1.5 m,,,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản đầy đủ.,3 phòng
"Đường Yên Nghĩa, Phường Yên Nghĩa, Hà Đông, Hà Nội",39 m²,2.25 tỷ,3.4 m,3 m,Đông - Nam,Đông - Nam,4 tầng,3 phòng,Sổ đỏ/ sổ hồng,Đầy đủ cao cấp.,4 phòng
"Đường Yên Hòa, Phường Yên Nghĩa, Hà Đông, Hà Nội",36 m²,1.85 tỷ,6 m,2.5 m,Tây - Bắc,,3 tầng,2 phòng,Sổ đỏ,Nội thất cơ bản,3 phòng
"Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",35 m²,5.5 tỷ,4.5 m,6 m,,,6 tầng,5 phòng,Sổ đỏ/ Sổ hồng,"Đồ cơ bản Nội thất bao gồm (tủ bếp, hút mùi và bếp điện, từ cảm ứng 5.0) đèn chùm phòng khách, bình nóng lạnh và hệ thống bảo ôn của điều hoà chờ).",4 phòng
"Đường Hậu Ái, Xã Vân Canh, Hoài Đức, Hà Nội",40 m²,4.35 tỷ,4.5 m,2 m,Đông,,4 tầng,3 phòng,Sổ đỏ,,4 phòng
"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",46 m²,4.99 tỷ,3.5 m,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,5 phòng
"Đường 6, Phường Yên Nghĩa, Hà Đông, Hà Nội",38 m²,2.35 tỷ,3.5 m,3.5 m,Tây - Nam,Tây - Nam,4 tầng,3 phòng,,Cơ bản.,3 phòng
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",45 m²,6.6 tỷ,3.5 m,,,,6 tầng,10 phòng,Sổ đỏ/ Sổ hồng,,10 phòng
"Phố Lê Thanh Nghị, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",55 m²,8.8 tỷ,6 m,,,,5 tầng,12 phòng,Sổ đỏ/ Sổ hồng,Điều hòa - nóng lạnh - thiết bị vệ sinh ,12 phòng
"Phường Yên Nghĩa, Hà Đông, Hà Nội",34 m²,2.15 tỷ,,,,,4 tầng,,Sổ đỏ/ Sổ hồng,,
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",57 m²,8 tỷ,,,,,5 tầng,,,,
